102,67
18,18
13,13
30,33
74,79
2,2
36,33
7,7
21,21
7,7
7,7
58,42
24,19
70,69
23,23
16,16
82,51
7,7
15,15
16,16
25,25
7,7
25,25
46,35
91,55
15,15
59,43
95,49
88,75
26,26
21,21
2,2
13,13
19,19
8,8
27,27
18,18
2,2
12,12
36,28
14,14
8,8
27,27
6,6
20,20
108,73
147,82
21,21
11,8
17,17
36,34
12,12
19,19
17,17
24,24
15,15
23,23
13,13
112,51
24,24
13,13
58,43
96,79
16,16
26,26
45,66
7,7
23,23
13,13
32,41
57,24
7,7
48,35
90,59
8,8
19,19
25,25
2,2
30,30
34,29
15,15
20,20
2,2
25,25
96,49
23,23
35,28
12,12
2,2
27,27
54,42
45,33
22,22
21,21
29,29
57,64
62,41
21,21
14,14
99,56
14,14
18,18
9,9
16,16
64,43
58,37
38,27
80,39
11,12
16,16
26,26
15,29
2,2
39,38
30,30
9,9
15,15
2,2
20,20
10,10
14,14
23,23
25,25
59,47
19,19
22,22
108,86
19,19
18,18
17,17
33,22
29,29
8,8
23,36
19,19
25,25
22,22
14,14
77,34
7,7
15,15
24,24
5,5
82,39
123,73
20,20
20,20
67,85
2,2
65,32
3,3
15,15
4,4
27,22
60,39
37,23
17,14
49,49
27,27
14,14
46,31
43,35
10,10
20,20
17,17
21,21
26,26
16,16
81,26
2,2
20,20
19,19
21,21
8,8
40,21
12,12
31,31
16,9
3,3
79,55
104,70
98,39
11,11
29,25
10,10
30,25
54,46
15,15
23,39
78,47
22,22
28,28
14,14
69,48
58,45
71,67
14,14
26,26
80,48
9,9
11,12
11,11
22,23
3,3
19,19
18,18
18,18
21,21
20,20
31,31
63,30
12,12
2,2
16,16
88,64
31,31
12,12
12,12
14,14
16,16
45,37
11,12
116,87
28,28
55,43
28,23
57,24
25,25
100,58
83,57
11,24
33,24
19,19
27,27
74,66
8,8
20,20
98,56
118,72
18,18
22,22
38,27
37,26
13,13
2,2
20,20
18,18
23,23
2,2
76,59
26,26
16,16
15,15
34,32
2,2
74,43
18,18
17,17
20,20
23,23
53,38
16,16
15,15
12,12
33,33
12,12
35,38
20,20
18,18
20,20
47,32
23,23
11,11
24,24
2,2
8,8
22,24
19,19
19,19
7,7
8,8
5,5
19,19
98,56
13,13
20,20
56,41
18,18
14,14
85,84
21,14
23,18
46,31
25,28
11,8
17,17
46,30
11,12
13,13
38,27
13,13
14,14
18,18
31,37
77,46
19,19
27,27
30,30
20,20
21,21
11,11
65,62
59,38
21,21
31,38
135,72
12,12
36,25
66,40
59,38
29,32
37,34
72,35
90,35
23,23
12,13
23,23
17,17
3,3
35,46
4,4
13,13
27,27
42,31
49,41
17,17
54,42
